Test - BI (Search)
"August 1, 2026 - August 31, 2026"
Day,Campaign,Campaign type,Campaign state,Network (with search partners),Campaign bid strategy type,Impr.,Clicks,Conversions,Conv. value,Currency code,Cost
2026-08-18,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"1,860",169,1.00,"59,900.00",USD,185.75
2026-08-18,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Search,Maximize Conversions,985,47,0.00,0.00,USD,20.60
2026-08-18,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Search partners,Maximize Conversions,2,0,0.00,0.00,USD,0.00
2026-08-21,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,108,7,0.07,"20,676.28",USD,1.08
2026-08-21,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,7,0,0.00,0.00,USD,0.00
2026-08-22,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,"2,656",442,26.30,"8,201,477.83",USD,93.09
2026-08-22,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,51,4,0.00,0.00,USD,0.10
2026-08-23,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,"2,079",329,3.62,"1,004,686.21",USD,58.98
2026-08-23,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,90,1,0.00,0.00,USD,0.02
2026-08-24,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,792,136,4.15,0.00,USD,23.41
2026-08-24,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,64,3,0.00,0.00,USD,0.09
2026-08-25,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,782,143,7.66,"185,257.05",USD,31.60
2026-08-25,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,44,1,0.00,0.00,USD,0.04
2026-08-26,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,"2,053",357,24.73,"4,538,652.05",USD,74.03
2026-08-26,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,77,5,0.00,0.00,USD,0.29
2026-08-27,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,"2,035",386,13.14,"3,017,134.25",USD,73.55
2026-08-27,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,58,5,0.00,0.00,USD,0.15
2026-08-28,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,905,169,3.69,0.00,USD,27.90
2026-08-28,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,26,1,0.00,0.00,USD,0.04
2026-08-29,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,"1,270",265,10.03,"1,663,779.80",USD,58.79
2026-08-29,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,31,0,0.00,0.00,USD,0.00
2026-08-30,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,"2,754",502,12.92,"3,618,788.14",USD,96.42
2026-08-30,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,55,1,0.00,0.00,USD,0.02
2026-08-31,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Google Search,Maximize Conversions,"1,266",245,4.39,"669,421.99",USD,51.45
2026-08-31,CO_OTT_PERF_GOOGLE ADS_Deportes-CONV__Search Ads _PROSP,Search,Enabled,Search partners,Maximize Conversions,30,0,0.00,0.00,USD,0.00
